of	om	239
number	aantal	238
simple	eenvoudige	237
meaning of	betekenis van	236
particular	bepaalde	236
within the	binne die	236
of an	van n	236
symbolic	simboliese	235
the text's	die teks	233
the relationship between	die verhouding tussen	232
theories	teorieë	232
examples	voorbeelde	231
space	ruimte	231
text refers to	teks verwys na	231
involves	behels	228
fictional	fiktiewe	228
highly	hoogs	228
strong	sterk	227
structures	strukture	227
text that	teks wat	226
study	studie	225
these	hierdie	225
all	alle	225
popular	populêre	225
text describes	teks beskryf	225
text emphasizes	teks beklemtoon	225
any	enige	225
literature	literatuur	224
the audience	die gehoor	224
abstract	abstrakte	223
may	kan	223
text uses the	teks gebruik die	222
theme	tema	222
text focuses	teks fokus	221
forms	vorme	221
consists of	bestaan uit	220
material	materiaal	219
message	boodskap	218
rhetoric	retoriek	216
text uses an	teks gebruik n	216
characterized	gekenmerk	216
concept of	konsep van	215
a variety	n verskeidenheid	215
analysis	analise	215
authors	skrywers	213
always	altyd	213
writing	skryfwerk	212
same	dieselfde	212
structural	strukturele	211
vocabulary	woordeskat	209
language and	taal en	208
refers to the	verwys na die	207
in	by	207
explores	ondersoek	205
real	werklike	204
a new	n nuwe	201
written	geskrewe	201
perspective	perspektief	200
three	drie	200
society	samelewing	200
construction	konstruksie	199
only	slegs	199
us	ons	199
dialogue	dialoog	199
are used	word gebruik	199
makes use	maak gebruik	198
makes use of	maak gebruik van	198
create	skep	198
world	wêreld	198
topic	onderwerp	198
analyzes	ontleed	198
text is an	teks is n	197
gives	gee	197
interpretation	interpretasie	196
should	moet	196
each	elke	195
characterized by	gekenmerk deur	195
clear	duidelike	194
analysis of	ontleding van	193
considered	as	192
users	gebruikers	192
direct	direkte	192
cognitive	kognitiewe	192
paragraph	paragraaf	191
some	sommige	191
from the	van die	190
you	jy	188
aspects	aspekte	188
demonstrates	demonstreer	188
at	op	188
role of	rol van	188
an example	n voorbeeld	186
structure of the	struktuur van die	186
of the text is	van die teks is	185
text includes	teks sluit	185
virtual	virtuele	185
a particular	n bepaalde	184
introduces	stel	183
text focuses on	teks fokus op	183
in an	in n	183
features	kenmerke	182
the meaning	die betekenis	182
logical	logiese	182
alternative	alternatiewe	182
stylistic	stilistiese	181
issues	kwessies	181
symbols	simbole	181
devices	middele	180
idea of	idee van	180
are used to	word gebruik om	180
language to	taal om	180
requires	vereis	179
their own	hul eie	179
conventions	konvensies	178
for a	vir n	178
an example of	n voorbeeld van	177
to the	op die	177
another	ander	177
with	oor	177
describes the	beskryf die	176
a rhetorical	n retoriese	176
because	omdat	175
the idea	die idee	175
to a	na n	175
according	volgens	175
of language	van taal	174
focuses on the	fokus op die	174
history	geskiedenis	174
takes	neem	173
development	ontwikkeling	173
grammatical	grammatikale	173
from the	uit die	172
importance	belangrikheid	172
online	aanlyn	172
large	groot	172
set	stel	171
shows	toon	171
as	soos	171
how the	hoe die	171
narratives	narratiewe	170
purpose	doel	170
uses rhetorical	gebruik retoriese	170
of text	van teks	169
presents a	bied n	169
aspects of	aspekte van	169
from	vanuit	168
discursive	diskursiewe	168
which	waarin	168
media	mediatekste	168
aesthetic	estetiese	168
designed to	ontwerp om	167
themes	temas	167
technique	tegniek	166
type	tipe	166
single	enkele	165
text examines the	teks ondersoek die	165
fiction	fiksie	165
semiotic	semiotiese	164
basic	basiese	164
reader is	leser word	164
around	rondom	164
begins	begin	164
a complex	n komplekse	163
helps	help	163
central	sentrale	163
text creates a	teks skep n	162
there	daar	162
art	kuns	162
text discusses the	teks bespreek die	161
understanding of	begrip van	160
is characterized	word gekenmerk	160
the concept	die konsep	159
representation of	voorstelling van	159
individual	individuele	159
forms of	vorme van	159
illustrates	illustreer	158
graphic	grafiese	157
contain	bevat	157
tone	toon	157
an important	n belangrike	156
effect	effek	156
something	iets	156
linear reading	lineêre leeservaring	155
and a	en n	155
within a	binne n	155
is characterized by	word gekenmerk deur	155
function	funksie	154
levels	vlakke	154
structure to	struktuur om	154
figurative	figuurlike	154
presentation	aanbieding	154
is written	is geskryf	154
offers a	bied n	154
television	televisie	154
poem	gedig	154
contemporary	kontemporêre	153
word	woord	153
shows	wys	153
of	aan	152
physical	fisiese	152
which	waarop	152
of	op	151
person	persoon	151
elements of	elemente van	150
non linear reading	nie lineêre leeservaring	150
your	jou	150
is an example	is n voorbeeld	150
ideological	ideologiese	150
over	oor	150
images and	beelde en	149
reflects	weerspieël	149
poetic	poëtiese	149
allows the	laat die	149
through	middel	149
conventional	konvensionele	148
identity	identiteit	148
organized	georganiseer	148
text makes use	teks maak gebruik	147
text makes use of	teks maak gebruik van	147
construction of	konstruksie van	147
the role	die rol	147
approach to	benadering tot	146
electronic	elektroniese	146
the meaning of	die betekenis van	146
a narrative	n narratiewe	146
composed	saamgestel	146
extensive	uitgebreide	146
to	te	146
writers	skrywers	146
is an example of	is n voorbeeld van	145
of hypertext	van hiperteks	145
the readers	die lesers	145
the story	die verhaal	145
technical	tegniese	145
into the	in die	145
relationships	verhoudings	145
importance of	belangrikheid van	145
follows	volg	144
used in	wat in	144
through a	deur n	144
the way	die manier	144
a form	n vorm	144
as the	as die	143
to the	met die	143
process of	proses van	143
active	aktiewe	142
is designed	is ontwerp	142
study of	studie van	142
criticism	kritiek	142
design	ontwerp	142
access	toegang	142
grammar	grammatika	141
the concept of	die konsep van	141
page	bladsy	141
represents	verteenwoordig	141
where	waar	141
cannot	kan	141
dominant	dominante	140
general	algemene	140
the importance	die belangrikheid	140
strategy	strategie	139
been	is	139
provides a	verskaf n	139
theory	mediateorie	139
the story	die storie	138
passive	passiewe	138
quotations	aanhalings	138
perspectives	perspektiewe	138
method	metode	137
references to	verwysings na	137
level	vlak	137
text encourages	teks moedig	137
the form	die vorm	136
text are	teks is	136
deliberately	doelbewus	136
in its	in sy	136
environment	omgewing	136
the role of	die rol van	136
structured	gestruktureer	135
theory of	teorie van	135
text presents a	teks bied n	134
a non linear reading	n nie lineêre leeservaring	134
plays	speel	134
speaker	spreker	134
the book	die boek	133
narrative structure	narratiewe struktuur	133
the process	die proses	133
a form of	n vorm van	133
deals	handel	133
parts	dele	132
directly	direk	132
previous	vorige	132
of a text	van n teks	132
production	produksie	132
verbal	verbale	132
interaction	interaksie	131
in	aan	131
implies	impliseer	131
dramatic	dramatiese	131
intertextual	intertekstuele	131
reference	verwysing	130
arguments	argumente	130
open	oop	129
everyday	alledaagse	129
hypertext is	hiperteks is	129
related	verband	129
emphasis	klem	129
itself	homself	129
music	musiek	129
chapter	hoofstuk	129
its own	sy eie	128
he	hy	128
of its	van sy	128
of texts	van tekste	128
sometimes	soms	128
scientific	wetenskaplike	128
codes	kodes	128
explicit	eksplisiete	127
important	belangrik	127
a single	n enkele	127
a number	n aantal	127
to other	na ander	127
using	behulp	127
the		126
the idea of	die idee van	126
representations	voorstellings	126
text explains	teks verduidelik	126
parallel	parallelle	126
text emphasizes the	teks beklemtoon die	126
the characters	die karakters	126
to the	vir die	126
a way	n manier	126
text is written	teks is geskryf	126
combines	kombineer	125
created	geskep	125
texts are	tekste is	125
text is based	teks is gebaseer	125
hyperlink	hiperskakel	125
response	reaksie	125
them	hulle	124
point	standpunt	124
sentence is	sin is	124
text uses rhetorical	teks gebruik retoriese	124
description	beskrywing	124
text as	teks as	124
development of	ontwikkeling van	124
text is based on	teks is gebaseer op	124
hypertextual structure	hipertekstuele struktuur	123
user	gebruiker	123
primary	primêre	123
the importance of	die belangrikheid van	123
constantly	voortdurend	123
types	tipes	122
messages	boodskappe	122
kind	soort	121
high	hoë	121
section	afdeling	121
hypermedia	hipermedia	121
multiple	verskeie	121
into a	in n	121
text consists	teks bestaan	121
difficult	moeilik	120
text explores	teks ondersoek	120
a story	n storie	120
they	dit	120
one of	een van	120
while	terwyl	120
the text is	die teks word	120
each	mekaar	120
interpretations	interpretasies	120
to	by	119
spatial	ruimtelike	119
specialized	gespesialiseerde	118
phrases	frases	118
technological	tegnologiese	118
uses irony	gebruik ironie	118
levels of	vlakke van	117
feminist	feministiese	117
mass	massamedia	117
attempts	poog	117
include	sluit	117
connection	verband	117
of social	van sosiale	116
on the	van die	116
question	vraag	116
examples of	voorbeelde van	116
deals with	handel oor	116
clearly	duidelik	116
mainly	hoofsaaklik	116
impact	impak	115
reader to	leser om	115
rhetorical strategies	retoriese strategieë	114
part of the	deel van die	114
advertising	advertensies	114
writing	skryf	114
a hypertextual	n hipertekstuele	113
theorists	teoretici	113
content of	inhoud van	113
is designed to	is ontwerp om	112
explores the	ondersoek die	112
too	te	112
devices	toestelle	112
text provides	teks bied	112
the reader to	die leser om	112
organization	organisasie	112
semantic	semantiese	112
focus on	fokus op	112
a hypertext	n hiperteks	111
white	wit	111
ability	vermoë	111
sound	klank	111
section	gedeelte	111
text consists of	teks bestaan uit	111
a more	n meer	110
original	oorspronklike	110
a visual	n visuele	110
emotions	emosies	110
document	dokument	110
semiotics	semiotiek	109
point	punt	109
discussion	bespreking	109
list	lys	109
connections	verbande	109
a certain	n sekere	109
well	goed	109
at	aan	109
addresses	spreek	109
tension	spanning	109
small	klein	108
system	stelsel	108
way to	manier om	108
are the	is die	108
has an	het n	108
is often	word dikwels	108
the narrative	die narratief	108
event	gebeurtenis	107
the content	die inhoud	107
strategies to	strategieë om	107
defines	definieer	107
tells	vertel	107
describes a	beskryf n	107
ironic	ironiese	107
only	net	107
text introduces	teks stel	106
for	om	106
the study	die studie	106
works	werke	106
attempts to	poog om	106
intended	bedoel	106
on the	oor die	105
research	navorsing	105
numerous	talle	105
as	aangesien	105
from a	uit n	105
the first	die eerste	105
easy	maklik	105
a literary	n literêre	105
a strong	n sterk	105
protagonist	protagonis	105
hypertexts	hipertekste	105
narrative	vertelling	105
most	mees	104
objects	voorwerpe	104
viewer	kyker	104
a social	n sosiale	104
creates an	skep n	104
more than	meer as	104
the context	die konteks	104
context of	konteks van	104
allow	laat	104
group	groep	104
creative	kreatiewe	104
negative	negatiewe	104
internal	interne	104
media	mediateks	104
ambiguity	dubbelsinnigheid	103
develops	ontwikkel	103
multimodal	multimodale	102
product	produk	102
images to	beelde om	102
you	jou	102
the form of	die vorm van	102
interpretation of	interpretasie van	102
and uses	en gebruik	102
post	post	102
experiences	ervarings	102
perception	persepsie	102
a linear	n lineêre	101
title	titel	101
language of	taal van	101
contains an	bevat n	101
visual and	visuele en	101
plot	intrige	101
aims	doel	101
is very	is baie	101
long	lang	101
different	ander	100
words and	woorde en	100
purpose of	doel van	100
book is	boek is	100
most	meeste	100
the structure	die struktuur	100
values	waardes	100
role in	rol in	100
choice	keuse	100
learners	leerders	99
good	goeie	99
means	beteken	99
to a	tot n	99
is often	is dikwels	99
classical	klassieke	99
aims to	doel om	99
beginning	begin	99
of literary	van literêre	99
textbook	handboek	99
a clear	n duidelike	99
realism	realisme	98
multimedia	multimedia	98
definition	definisie	98
of their	van hul	98
body	liggaam	98
rhetorical devices	retoriese middele	98
of cultural	van kulturele	98
sense	sin	98
of visual	van visuele	98
at	na	98
movement	beweging	97
philosophical	filosofiese	97
rhetorical questions	retoriese vrae	97
dynamic	dinamiese	97
indicates	dui	97
were	is	97
technologies	tegnologieë	97
illustrations	illustrasies	97
possible	moontlike	97
text offers a	teks bied n	97
irony to	ironie om	97
at the	aan die	97
boundaries	grense	96
terms of	terme van	96
learning	leer	96
subjective	subjektiewe	96
itself	self	96
metaphorical	metaforiese	96
therefore	dus	96
aspect	aspek	95
the text are	die teks is	95
the study of	die studie van	95
scene	toneel	95
provides a	bied n	95
the nature	die aard	95
rules	reëls	95
detailed	gedetailleerde	95
structuralist	strukturalistiese	95
suggests	suggereer	95
connection between	verband tussen	95
between text	tussen teks	95
experience of	ervaring van	95
the rhetorical	die retoriese	94
displays	vertoon	94
range	reeks	94
quote	aanhaling	94
text takes	teks neem	94
by an	deur n	94
like a	soos n	94
lot	baie	94
the text and	die teks en	94
piece	stuk	94
life	lewe	94
framework	raamwerk	94
changes	verander	94
signs	tekens	93
view	siening	93
details	besonderhede	93
the visual	die visuele	93
sequence	volgorde	93
argues	argumenteer	93
that it	dat dit	93
the social	die sosiale	93
metaphor to	metafoor om	93
assumptions	aannames	93
order	volgorde	93
an emotional	n emosionele	93
presents	stel	93
reveals	openbaar	92
style of	styl van	92
moral	morele	92
make	maak	92
criticizes	kritiseer	92
the nature of	die aard van	92
economic	ekonomiese	92
a metaphor	n metafoor	92
never	nooit	92
expectations	verwagtinge	92
the language	die taal	92
structure of the text	struktuur van die teks	92
paragraphs	paragrawe	92
system	sisteem	91
common	algemene	91
format	formaat	91
of meaning	van betekenis	91
in terms	in terme	91
problem	probleem	91
layers	lae	91
the development	die ontwikkeling	91
current	huidige	91
analyzes the	ontleed die	91
conflict	konflik	91
embedded	ingebedde	91
in terms of	in terme van	90
larger	groter	90
level of	vlak van	90
imagery	beeldspraak	90
with an	met n	90
critique	kritiek	90
functions	funksioneer	90
becomes	word	90
a large	n groot	90
tend	geneig	90
encourages the	moedig die	90
text analyzes	teks ontleed	90
concerned	gemoeid	90
function of	funksie van	89
patterns	patrone	89
depends	hang	89
contextual	kontekstuele	89
less	minder	89
easily	maklik	89
to	dat	89
unique	unieke	89
begins with	begin met	89
works	werk	89
text demonstrates	teks demonstreer	89
composed of	saamgestel uit	89
contrast	kontras	88
effects	effekte	88
including	insluitend	88
places	plaas	88
the texts	die tekste	88
meaning of the	betekenis van die	88
in	van	88
some	paar	88
of different	van verskillende	88
suggests	stel	88
just	net	88
in the text is	in die teks is	88
gender	geslag	88
constructed	gekonstrueer	88
against	teen	88
topics	onderwerpe	88
between text and	tussen teks en	88
read	gelees	87
intertextuality	intertekstualiteit	87
wide	wye	87
tries	probeer	87
statement	stelling	87
ability to	vermoë om	87
conveys	dra	87
past	verlede	87
generally	algemeen	87
how to	hoe om	87
better	beter	87
information in	inligting in	86
attention to	aandag op	86
than the	as die	86
defined	gedefinieer	86
presentation of	aanbieding van	86
of rhetorical	van retoriese	86
a set	n stel	86
the development of	die ontwikkeling van	86
differences	verskille	86
a very	n baie	86
end	einde	86
speech	spraak	86
readings	lesings	85
the narrative	die narratiewe	85
the construction	die konstruksie	85
lack	gebrek	85
is	gaan	85
in their	in hul	85
the subject	die onderwerp	85
related	verwante	85
allows	voorsiening	85
allows for	voorsiening vir	85
are often	word dikwels	85
concerned with	gemoeid met	85
complexity	kompleksiteit	85
expression	uitdrukking	85
a different	n ander	84
figurative language	figuurlike taal	84
control	beheer	84
used	het	84
all	al	84
is in	is in	84
source	bron	84
between two	tussen twee	84
informal	informele	84
the world	die wêreld	84
even	selfs	84
logic	logika	84
parts of	dele van	84
tend to	geneig om	84
is composed	is saamgestel	84
syntax	sintaksis	83
chronological	chronologiese	83
problems	probleme	83
lack of	gebrek aan	83
explains the	verduidelik die	83
the structure of	die struktuur van	83
based on the	gebaseer op die	83
theory		83
books	boeke	83
presented	aangebied	83
links		83
techniques to	tegnieke om	83
structure and	struktuur en	83
are not	is nie	83
text uses irony	teks gebruik ironie	83
especially	veral	83
and is	en is	82
pages	bladsye	82
to	moet	82
exploits	ontgin	82
sources	bronne	82
situation	situasie	82
narrator's	verteller	82
frequently	gereeld	82
in the	by die	82
stories	verhale	82
then	dan	82
because it	omdat dit	82
theorists		82
a narrative	n narratief	82
through the use	deur die gebruik	82
through the use of	deur die gebruik van	82
network	netwerk	81
the construction of	die konstruksie van	81
language in	taal in	81
evidence	bewyse	81
to a	aan n	81
text with	teks met	81
processes	prosesse	81
sentence uses	sin gebruik	81
emphasize	beklemtoon	81
text provides a	teks verskaf n	81
things	dinge	81
structure is	struktuur is	81
rich	ryk	80
introduction	inleiding	80
to		80
hypertext	hipertekstuele	80
assumes	veronderstel	80
conceptual	konseptuele	80
analysis		80
pattern	patroon	80
description of	beskrywing van	80
that the	wat die	80
language is	taal is	80
behavior	gedrag	80
text to	teks om	80
connections between	verbande tussen	80
and non	en nie	80
claims	beweer	80
ideology	ideologie	80
combination	kombinasie	80
are a	is n	80
ambiguous	dubbelsinnige	80
narrative is	narratief is	80
coherent	samehangende	80
greater	groter	79
power	mag	79
for	na	79
now	nou	79
concrete	konkrete	79
of this text	van hierdie teks	79
female	vroulike	79
text illustrates	teks illustreer	79
refers to a	verwys na n	79
underlying	onderliggende	79
links	hiperteksskakels	78
thinking	denke	78
and images	en beelde	78
entire	hele	78
layout	uitleg	78
moves	beweeg	78
intellectual	intellektuele	78
serves	dien	78
and its	en sy	78
texts are	tekste word	78
read	lees	77
to	van	77
action	aksie	77
nature of the	aard van die	77
is one	is een	77
one of the	een van die	77
leads	lei	77
similar	soortgelyke	77
of images	van beelde	77
between different	tussen verskillende	77
them	dit	77
difference	verskil	77
subject of	onderwerp van	77
sections	afdelings	77
information about	inligting oor	77
aspect of	aspek van	76
theme of	tema van	76
power	krag	76
objective	objektiewe	76
value	waarde	76
metaphors and	metafore en	76
text gives	teks gee	76
extended	uitgebreide	76
little	min	76
compares	vergelyk	76
throughout	deur	75
literal	letterlike	75
computer	rekenaar	75
promotes	bevorder	75
products	produkte	75
juxtaposition	jukstaposisie	75
and social	en sosiale	75
shows how	wys hoe	75
indirect	indirekte	75
towards	teenoor	75
text contains an	teks bevat n	75
linear	lineêr	75
link	skakel	75
reads	lees	75
and other	en ander	75
voices	stemme	75
viewers	kykers	75
feelings	gevoelens	75
critique of	kritiek op	75
collection	versameling	75
argues	voer	75
thematic	tematiese	75
hidden	verborge	75
uses repetition	gebruik herhaling	75
repetition to	herhaling om	75
communicative	kommunikatiewe	75
text is characterized	teks word gekenmerk	75
implicit	implisiete	74
of narrative	van narratiewe	74
can also	kan ook	74
be	word	74
artistic	artistieke	74
best	beste	74
summary	opsomming	74
descriptions	beskrywings	74
functions	funksies	74
in the form	in die vorm	74
in the form of	in die vorm van	74
is	handel	74
made	gemaak	74
phrase	frase	74
critics	kritici	74
allows the reader	laat die leser	74
external	eksterne	74
the writer	die skrywer	74
combination of	kombinasie van	74
the user	die gebruiker	74
across	oor	74
about a	oor n	74
definition of	definisie van	74
text in	teks in	73
together	saam	73
challenges	daag	73
themselves	hulself	73
relationship between the	verhouding tussen die	73
public	openbare	73
explains how	verduidelik hoe	73
the process of	die proses van	73
emphasis on	klem op	73
and its	en die	73
is highly	is hoogs	73
she	sy	73
popular culture	populêre kultuur	73
approaches	benaderings	73
text is characterized by	teks word gekenmerk deur	73
player	speler	73
reader can	leser kan	72
uses language	gebruik taal	72
special	spesiale	72
frame	raam	72
oral	mondelinge	72
textuality	tekstualiteit	72
narrator uses	verteller gebruik	72
a critical	n kritiese	72
texts use	tekste gebruik	72
text describes the	teks beskryf die	72
characteristics	kenmerke	72
or more	of meer	72
in an	op n	72
reading of	lees van	72
that the text	dat die teks	72
of the text is	van die teks word	72
illusion	illusie	72
history of	geskiedenis van	72
highlights	beklemtoon	72
text shows	teks wys	72
here	hier	72
based on a	gebaseer op n	72
the message	die boodskap	71
provide	verskaf	71
audience's	gehoor	71
natural	natuurlike	71
language	taalgebruik	71
sexual	seksuele	71
influence	invloed	71
or a	of n	71
depicts	beeld	71
lexical	leksikale	71
and visual	en visuele	71
interest	belangstelling	71
a wide	n wye	71
quality	kwaliteit	71
position	posisie	70
shared	gedeelde	70
issue	kwessie	70
typically	tipies	70
ideas and	idees en	70
discourses	diskoerse	70
a postmodern	n postmoderne	70
mostly	meestal	70
the information	die inligting	70
the different	die verskillende	70
deconstructs	dekonstrueer	69
text shows	teks toon	69
statements	stellings	69
part of a	deel van n	69
of words	van woorde	69
with	by	69
languages	tale	69
presents the	bied die	69
reflects the	weerspieël die	69
argues that	argumenteer dat	69
feature	kenmerk	69
overview	oorsig	69
existing	bestaande	69
and cultural	en kulturele	69
is about	handel oor	69
throughout	regdeur	69
third	derde	69
amount	hoeveelheid	69
distinction	onderskeid	69
primarily	hoofsaaklik	69
author of	skrywer van	69
points	punte	69
of a	uit n	69
font	lettertipe	68
the most	die mees	68
the image	die beeld	68
and rhetorical	en retoriese	68
learn	leer	68
impact of	impak van	68
figures	figure	68
known	bekend	68
character's	karakter	68
characters in	karakters in	68
text has an	teks het n	68
thoughts	gedagtes	68
is part	is deel	68
is part of	is deel van	68
of information	van inligting	68
implications	implikasies	68
change	verandering	68
characters and	karakters en	68
text is the	teks is die	68
is composed of	is saamgestel uit	68
in the text are	in die teks is	67
postmodernism	postmodernisme	67
flow	vloei	67
hypertextuality	hipertekstualiteit	67
engages	betrek	67
is structured	is gestruktureer	67
women	vroue	67
hierarchical	hiërargiese	67
metaphors to	metafore om	67
contrasts	kontrasteer	67
the work	die werk	67
second	tweede	67
fragmented	gefragmenteerde	67
the reading	die leeservaring	67
types	soorte	67
text begins	teks begin	67
text exploits	teks ontgin	67
were	was	67
have a	het n	67
background	agtergrond	67
devices to	middele om	67
printed	gedrukte	67
the article	die artikel	67
is concerned	is gemoeid	67
is concerned with	is gemoeid met	67
reader is	leser is	67
theory is	teorie is	67
text is designed	teks is ontwerp	66
throughout the	deur die	66
features of	kenmerke van	66
color	kleur	66
already	reeds	66
a personal	n persoonlike	66
texts that	tekste wat	66
use of the	gebruik van die	66
ends	eindig	66
other texts	ander tekste	66
psychological	sielkundige	66
access to	toegang tot	66
the end	die einde	66
well	sowel	66
well as	sowel as	66
methods	metodes	66
ambiguous	dubbelsinnig	66
stereotypes	stereotipes	66
principles	beginsels	66
cannot	nie	66
invites	nooi	66
language that	taal wat	65
prose	prosa	65
the context of	die konteks van	65
contemporary	hedendaagse	65
great	groot	65
text focuses on the	teks fokus op die	65
questions to	vrae om	65
four	vier	65
genre	genre	65
fragments	fragmente	65
this	dit	65
much	baie	65
effective	effektiewe	65
is organized	is georganiseer	65
postmodernist	postmodernistiese	65
commentary	kommentaar	65
reference to	verwysing na	65
footnotes	voetnote	65
end of	einde van	65
